Power = -20.0
Frequency = 15500000000.0
attenuation, voltage
0,   0.33687383
2,   0.26800108
4,   0.20979646
6,   0.16547142
8,   0.13262919
10,   0.10629495
12,   0.08334322
14,   0.066640556
16,   0.05465663
18,   0.04410904
20,   0.03492296
22,   0.02789777
Frequency = 15700000000.0
attenuation, voltage
0,   0.31228906
2,   0.24961685
4,   0.19691136
6,   0.15551504
8,   0.12438363
10,   0.098871306
12,   0.07877923
14,   0.06321494
16,   0.052231465
18,   0.04183959
20,   0.033066016
22,   0.026442755
Frequency = 15900000000.0
attenuation, voltage
0,   0.32145596
2,   0.25817305
4,   0.20403907
6,   0.16287509
8,   0.1319518
10,   0.10411266
12,   0.08331395
14,   0.06644102
16,   0.05457158
18,   0.044066623
20,   0.034795973
22,   0.027768323
Frequency = 16100000000.0
attenuation, voltage
0,   0.34398073
2,   0.27958706
4,   0.22217627
6,   0.17648306
8,   0.14398651
10,   0.114265725
12,   0.090354376
14,   0.07232881
16,   0.059567306
18,   0.047938894
20,   0.037984125
22,   0.030549554
Frequency = 16300000000.0
attenuation, voltage
0,   0.35669693
2,   0.2903304
4,   0.2299318
6,   0.18389265
8,   0.14983737
10,   0.11928458
12,   0.09445514
14,   0.07533045
16,   0.061979808
18,   0.049897842
20,   0.039804693
22,   0.03166769
Frequency = 16500000000.0
attenuation, voltage
0,   0.32766736
2,   0.26742855
4,   0.2101825
6,   0.16861121
8,   0.13642189
10,   0.109950624
12,   0.08652562
14,   0.069638036
16,   0.056891527
18,   0.045866992
20,   0.036278103
22,   0.029332375
Power = -19.5
Frequency = 15700000000.0
attenuation, voltage
0,   0.32900923
2,   0.2615924
4,   0.20698911
6,   0.16446954
8,   0.13167791
10,   0.105075665
12,   0.082675785
14,   0.06655281
16,   0.054900672
18,   0.04398182
20,   0.035081405
22,   0.028254634
Frequency = 15900000000.0
attenuation, voltage
0,   0.33504206
2,   0.27254143
4,   0.21644294
6,   0.17037095
8,   0.1394141
10,   0.1102752
12,   0.08728813
14,   0.07041859
16,   0.05758942
18,   0.046282742
20,   0.03659659
22,   0.029260771
Frequency = 16100000000.0
attenuation, voltage
0,   0.35835055
2,   0.2943139
4,   0.23309745
6,   0.18616503
8,   0.15148433
10,   0.12067375
12,   0.095578305
14,   0.0766095
16,   0.062925145
18,   0.050869238
20,   0.040103704
22,   0.032024357
Frequency = 16300000000.0
attenuation, voltage
0,   0.37238172
2,   0.3045512
4,   0.24187179
6,   0.19430637
8,   0.15726906
10,   0.12572846
12,   0.09940246
14,   0.07882724
16,   0.06494334
18,   0.052599736
20,   0.041520074
22,   0.033281516
Frequency = 16500000000.0
attenuation, voltage
0,   0.34402102
2,   0.28096902
4,   0.2215676
6,   0.17794
8,   0.14397857
10,   0.11649502
12,   0.09117381
14,   0.07284956
16,   0.060045578
18,   0.048266686
20,   0.038350545
22,   0.03081714
Power = -19.0
Frequency = 15700000000.0
attenuation, voltage
0,   0.34329045
2,   0.2759322
4,   0.21944167
6,   0.1729927
8,   0.13929307
10,   0.111029826
12,   0.08730336
14,   0.07009588
16,   0.057725172
18,   0.04630019
20,   0.036983654
22,   0.029396433
Frequency = 15900000000.0
attenuation, voltage
0,   0.35422245
2,   0.28472537
4,   0.22670612
6,   0.18099314
8,   0.1458981
10,   0.11644766
12,   0.092318125
14,   0.07385909
16,   0.060808226
18,   0.048594717
20,   0.03885678
22,   0.030911945
Frequency = 16100000000.0
attenuation, voltage
0,   0.3784335
2,   0.3082452
4,   0.24382362
6,   0.19689104
8,   0.15962954
10,   0.12774171
12,   0.09986608
14,   0.08064603
16,   0.066054225
18,   0.05312132
20,   0.04236057
22,   0.033757128
Frequency = 16300000000.0
attenuation, voltage
0,   0.3932794
2,   0.31958494
4,   0.25334212
6,   0.20378648
8,   0.1669044
10,   0.13269442
12,   0.103964016
14,   0.08366653
16,   0.06838451
18,   0.054998558
20,   0.04345047
22,   0.035181224
Frequency = 16500000000.0
attenuation, voltage
0,   0.3615551
2,   0.29489163
4,   0.23255417
6,   0.1878915
8,   0.1525729
10,   0.122070625
12,   0.09551046
14,   0.07715937
16,   0.06317145
18,   0.050968572
20,   0.04011066
22,   0.032278214
Power = -18.5
Frequency = 15700000000.0
attenuation, voltage
0,   0.3614076
2,   0.28998032
4,   0.23095551
6,   0.183078
8,   0.14612573
10,   0.11593512
12,   0.09226176
14,   0.073804334
16,   0.06108189
18,   0.04897676
20,   0.038898226
22,   0.0310823
Frequency = 15900000000.0
attenuation, voltage
0,   0.37071696
2,   0.29925302
4,   0.23975834
6,   0.19120578
8,   0.1548154
10,   0.12321286
12,   0.0970426
14,   0.07765515
16,   0.0637784
18,   0.05122743
20,   0.040751465
22,   0.032547794
Frequency = 16100000000.0
attenuation, voltage
0,   0.39798838
2,   0.3233209
4,   0.2575623
6,   0.2068161
8,   0.1690659
10,   0.1351699
12,   0.10645191
14,   0.084541135
16,   0.06977777
18,   0.056015488
20,   0.04429625
22,   0.035634976
Frequency = 16300000000.0
attenuation, voltage
0,   0.41328406
2,   0.3372466
4,   0.2680091
6,   0.21606588
8,   0.17528743
10,   0.14020841
12,   0.109861426
14,   0.08838546
16,   0.07212727
18,   0.057934187
20,   0.04600752
22,   0.03704292
Frequency = 16500000000.0
attenuation, voltage
0,   0.38084796
2,   0.31153515
4,   0.24528702
6,   0.19845378
8,   0.16156578
10,   0.128257
12,   0.101046376
14,   0.081191935
16,   0.066339664
18,   0.053564526
20,   0.04231385
22,   0.03404774
Power = -18.0
Frequency = 15700000000.0
attenuation, voltage
0,   0.379728
2,   0.30384576
4,   0.24283347
6,   0.19206826
8,   0.15445948
10,   0.12341323
12,   0.097292714
14,   0.07766408
16,   0.064065464
18,   0.05118841
20,   0.04081703
22,   0.032641448
Frequency = 15900000000.0
attenuation, voltage
0,   0.3886713
2,   0.3151539
4,   0.25249633
6,   0.2008732
8,   0.16294958
10,   0.12953275
12,   0.10241768
14,   0.081733815
16,   0.06715095
18,   0.053973485
20,   0.042940795
22,   0.03442545
Frequency = 16100000000.0
attenuation, voltage
0,   0.4157853
2,   0.3397205
4,   0.2712605
6,   0.21866912
8,   0.1777301
10,   0.14181069
12,   0.111769594
14,   0.088912606
16,   0.07292692
18,   0.058709484
20,   0.046677735
22,   0.037529957
Frequency = 16300000000.0
attenuation, voltage
0,   0.43259275
2,   0.35282034
4,   0.28000885
6,   0.22696187
8,   0.1855378
10,   0.14860308
12,   0.11640816
14,   0.092921324
16,   0.07599134
18,   0.060983505
20,   0.048247047
22,   0.038812455
Frequency = 16500000000.0
attenuation, voltage
0,   0.39836454
2,   0.32624662
4,   0.25877565
6,   0.20955025
8,   0.17078008
10,   0.13635086
12,   0.10637885
14,   0.085457094
16,   0.07007637
18,   0.05646694
20,   0.044544004
22,   0.035847954
Power = -17.5
Frequency = 15700000000.0
attenuation, voltage
0,   0.3979841
2,   0.31955197
4,   0.25494063
6,   0.2034932
8,   0.16377234
10,   0.13012035
12,   0.10249677
14,   0.08181152
16,   0.06712171
18,   0.054071855
20,   0.04292044
22,   0.034310758
Frequency = 15900000000.0
attenuation, voltage
0,   0.41021925
2,   0.33145776
4,   0.26506057
6,   0.2121123
8,   0.17147104
10,   0.13680802
12,   0.10792244
14,   0.0863641
16,   0.07076952
18,   0.056742124
20,   0.04522325
22,   0.03609318
Frequency = 16100000000.0
attenuation, voltage
0,   0.43875
2,   0.35674927
4,   0.2858276
6,   0.23060113
8,   0.18784441
10,   0.15016645
12,   0.11749856
14,   0.09456537
16,   0.077562585
18,   0.061981183
20,   0.049293894
22,   0.03942739
Frequency = 16300000000.0
attenuation, voltage
0,   0.45482343
2,   0.37329817
4,   0.29564855
6,   0.23913881
8,   0.19569483
10,   0.1573873
12,   0.1226196
14,   0.097886704
16,   0.0801283
18,   0.06442754
20,   0.051127195
22,   0.041004602
Frequency = 16500000000.0
attenuation, voltage
0,   0.41981122
2,   0.34300584
4,   0.27204147
6,   0.22095463
8,   0.17950065
10,   0.14385407
12,   0.11269704
14,   0.09057487
16,   0.07393057
18,   0.05977617
20,   0.04691892
22,   0.038111188
Power = -17.0
